Gene dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP
ABP1 0 0 7.00464e-06 1.24806863220958e-06 0.117575677441662 0.00354418650641423
ABR 0 0 8.62184e-06 2.53128789463326e-06 0.0357332725435263 0.00107980322112136
ABRA 0 0 2.34204e-06 8.42990365486115e-07 0.354861247348417 0.0106209246726253
ABRACL 0 0 1.04146e-10 2.71226335151795e-07 0.820561392676695 0.0242216263856763
ABT1 0 0 4.01816e-06 3.90952347841402e-07 0.366167244926284 0.0109556036464403
ABTB1 0 0 4.60159e-06 1.53684209288757e-06 0.144460887431115 0.00435108468648062
ABTB2 0 0 6.10082e-06 2.28475492246088e-06 0.0652777977766697 0.0019708327071667
ACAA1 0 0 6.29999e-06 1.17536938753252e-06 0.139731303493903 0.00420923176294385
ACAA2 0 0 3.9655e-06 1.04229216503248e-06 0.230532069217625 0.00692554874276748
ACACA 0 0 1.04146e-10 7.5111699642272e-06 0.00512455412123089 0.000154999321251964
ACACB 1 0 3.12375e-05 6.33097959654995e-06 0.0014118085663758 4.27069245503707e-05
ACAD10 0 0 7.32102e-06 3.3150685378845e-06 0.0255411131991019 0.000772050001481224
ACAD11 0 0 1.04146e-10 2.37567914617692e-06 0.180358801445683 0.0054264434504437
ACAD8 0 0 4.81218e-06 1.51720082185174e-06 0.141239253346515 0.00425446361763401
ACAD9 1 0 5.51181e-06 1.69543367397921e-06 2.32381059751425 0.0656806022342142
ACADL 0 0 2.55187e-06 1.41676582864237e-06 0.225971789451336 0.00678948085625556
ACADM 0 0 3.90498e-06 1.35195578692763e-06 0.186379977446496 0.00560658649647628
ACADS 0 0 6.55382e-06 9.70502362154595e-07 0.155117596078382 0.00467055992280407
ACADSB 0 0 3.08118e-06 1.04887960566711e-06 0.268139536179209 0.00804624610491973
ACADVL 0 0 6.54345e-06 1.76893232505997e-06 0.0874835342566346 0.00263948697048437
ACAN 0 0 1.04146e-10 3.5806626085595e-06 0.0768965163762129 0.00232080480094451
ACAP1 0 0 5.36361e-06 2.52470464880402e-06 0.0624811679563728 0.00188655763069156
ACAP2 0 0 4.90941e-06 2.80897471730203e-06 0.0552474410332947 0.00166850676318534
ACAP3 0 0 8.35266e-06 2.08661212157331e-06 0.0513144716712308 0.0015499127606094
ACAT1 0 0 3.85842e-06 9.49637066676745e-07 0.25116792903982 0.0075408078760741
ACAT2 0 0 3.69329e-06 7.6272411166732e-07 0.296005780329925 0.00887502620632993
ACBD3 0 0 2.84665e-06 1.69483453639695e-06 0.1756178752936 0.00528455730461822
ACBD4 0 0 1.46977e-06 1.84337602067363e-06 0.201968113931139 0.00607265323646438
ACBD5 0 0 2.67845e-06 1.48508058227357e-06 0.210349621220509 0.0063230697742897
ACBD6 0 0 7.70485e-07 7.947245843371e-07 0.487611484285965 0.0145363564877027
ACBD7 0 0 1.04146e-10 2.5689822851216e-07 0.829166308699641 0.0244694140877044
ACCS 0 0 3.44536e-06 1.22391352155694e-06 0.221602168672239 0.00665906679384079
