Gene dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof BF PP
ACSL3 0 0 7.10114e-06 2.13835769228969e-06 0.704695732549383 0.0109643944736825
ACSL5 0 0 6.3562e-06 1.96464868727232e-06 0.729303308701046 0.011342922053638
ACSL6 0 0 7.97776e-06 2.40128000886643e-06 0.675013445128588 0.0105074189712618
ACSM1 0 0 1.53003e-06 1.77909724205067e-06 0.873088438647663 0.013548926015439
ACSM2A 0 0 1.54734e-06 2.1581761561853e-06 0.857598516032388 0.0133117472305942
ACSM2B 0 0 1.35597e-06 2.16255018729173e-06 0.863290884173027 0.0133989209561743
ACSM3 0 0 4.41505e-06 1.8568105713051e-06 0.785163459162473 0.0122011198488598
ACSM4 0 0 1.04146e-10 1.73768662173863e-06 0.923750865406384 0.0143238638502097
ACSM5 0 0 4.43104e-06 1.62664342539793e-06 0.792998067657501 0.0123213663840434
ACSS1 0 0 8.79657e-06 1.8429381381756e-06 0.672638487289956 0.0104708369137129
ACSS2 0 0 8.83546e-06 1.97943565535435e-06 0.667545883828163 0.0103923851753244
ACSS3 0 0 5.43732e-06 1.83191721991759e-06 0.758039281827744 0.0117845883864566
ACTA1 0 0 1.85227e-06 7.9472013035454e-07 0.90277610007299 0.0140031793634597
ACTA2 0 0 1.04146e-10 9.28874509028565e-07 0.958473378617363 0.0148542802612717
ACTB 0 0 1.04146e-10 6.11804830205345e-07 0.972445787564092 0.0150675598470718
ACTBL2 0 0 1.04146e-10 6.86552631526265e-07 0.969133254568429 0.0150170045727107
ACTC1 0 0 1.04146e-10 6.17026450101125e-07 0.972214010993489 0.0150640226841825
ACTG1 0 0 1.04146e-10 9.10489465014875e-07 0.959277939620229 0.0148665638593202
ACTG2 0 0 1.04146e-10 8.4393437238282e-07 0.96219626731372 0.0149111167223884
ACTL10 0 0 1.2473e-06 3.35244592893949e-07 0.941988662073934 0.0146025331568632
ACTL6A 0 0 2.84944e-06 1.23191493108438e-06 0.854093636064648 0.0132580653432816
ACTL6B 0 0 4.91297e-06 1.63136664617172e-06 0.779375026473047 0.0121122594625674
ACTL7A 0 0 4.02737e-06 6.80155603764895e-07 0.839954594951752 0.0130414478423533
ACTL7B 0 0 1.67978e-07 4.3227659496182e-07 0.974597942671459 0.0151004028647126
ACTL8 0 0 9.06025e-07 6.776485141164e-07 0.938720853701593 0.0145526133899715
ACTL9 0 0 7.69216e-07 5.3587650992674e-07 0.949432979167613 0.0147162353170767
ACTN1 0 0 1.44597e-05 2.77935932277808e-06 0.527776475421968 0.00823436602320845
ACTN1-AS1 0 0 1.04146e-10 1.36780807540658e-07 0.993768545237914 0.015392859708273
ACTN2 0 0 1.41834e-05 2.22587158238494e-06 0.546549469128154 0.00852476530943923
ACTN3 0 0 1.04146e-10 9.13820183842555e-07 0.959132130603646 0.0148643377496032
ACTN4 0 0 1.15614e-05 2.26669071938485e-06 0.598359594321146 0.00932533409631085
ACTR10 0 0 2.08455e-06 1.17195652247144e-06 0.880060743880133 0.0136556474335657
ACTR1A 0 0 5.10889e-06 1.53291509212562e-06 0.777456736140233 0.0120828075460011
ACTR1B 0 0 7.21523e-06 1.41281031836043e-06 0.725464010460582 0.0112838828858119
ACTR2 0 0 1.74723e-06 1.55849404820161e-06 0.875123072441976 0.0135800714736977
ACTR3 0 0 4.1531e-06 1.28419301184882e-06 0.813474892066612 0.0126355089981737
ACTR3B 0 0 1.04146e-10 1.36809311237716e-06 0.939455620344027 0.0145638382892517
ACTR3C 0 0 1.21658e-06 8.09317600753625e-07 0.922829699303321 0.0143097844640668
ACTR5 0 0 5.58683e-06 1.25844953597033e-06 0.774012329150722 0.0120299204304355
ACTR6 0 0 3.26505e-06 1.22436617557051e-06 0.841853395944392 0.0130705439945536
ACTR8 0 0 4.18079e-06 2.23306774721882e-06 0.778258358351235 0.0120951152346749
ACTRT2 0 0 3.43681e-06 3.75514094332561e-07 0.869783333714036 0.0134983284393894
ACTRT3 0 0 2.51221e-06 4.33786565824588e-07 0.896470390694438 0.0139067301824884
ACVR1 0 0 4.07681e-06 1.41002831152995e-06 0.811013475628268 0.012597758056089
