geneName dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof dn_damaging_ID dn_lof_ID dn_damaging_DD dn_lof_DD dn_damaging_ASD dn_lof_ASD dn_silentCFPK_SCZ dn_damaging_SCZ dn_lof_SCZ mut_silentCFPK dn_lof_CHD dn_damaging_CHD
ABCG1 0 0 7.33343e-06 1.7444832514234e-06 0 0 0 0 1 0 0 0 0 3.288e-06 0 0
ABCG2 0 0 3.8055e-06 2.25855716714583e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCG4 0 0 7.98824e-07 1.36844155942114e-06 0 0 0 0 0 0 0 0 0 2.36438e-06 0 0
ABCG5 0 0 3.35843e-06 1.55432313277271e-06 0 0 0 0 0 0 0 0 0 2.46412e-06 0 0
ABCG8 0 0 4.2081e-06 1.52858893309901e-06 0 0 0 0 0 0 0 0 0 1.07115e-07 0 0
ABHD1 0 0 2.56407e-06 1.04739097501498e-06 0 0 0 0 0 0 0 0 0 4.42232e-07 0 0
ABHD10 0 0 1.84819e-06 1.01270879739946e-06 0 0 0 0 0 0 0 0 0 1.04843e-06 0 0
ABHD11 0 0 2.80089e-06 1.11742407840863e-06 0 0 0 0 0 0 0 0 0 2.71823e-06 0 0
ABHD12 0 0 3.24709e-06 1.42873302499533e-06 0 0 0 0 0 0 0 0 0 4.53885e-06 0 0
ABHD12B 0 0 1.23097e-06 9.9282025398005e-07 0 0 0 0 0 0 0 0 0 1.31561e-06 0 1
ABHD13 0 0 2.02317e-06 6.4348276335503e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABHD14A 0 0 1.40356e-06 6.2373756516196e-07 0 0 0 0 0 0 0 0 0 8.90542e-07 0 0
ABHD14A-ACY1 0 0 1.04146e-10 7.32326225258925e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABHD14B 0 0 1.28711e-06 4.40278398559254e-07 0 0 0 0 0 0 0 0 0 9.72587e-07 0 0
ABHD15 0 0 2.50932e-06 1.05473807217561e-06 0 0 0 0 0 0 0 0 0 8.97196e-06 0 0
ABHD16A 0 0 5.46531e-06 2.24374591461954e-06 0 0 1 0 0 0 0 0 0 2.96208e-06 0 0
ABHD16B 0 0 3.74611e-06 7.49115387002065e-07 0 0 1 0 0 0 0 0 0 1.11606e-10 0 0
ABHD17A 0 0 6.71613e-06 6.7301676031069e-07 0 0 0 0 0 0 0 0 0 5.08433e-06 0 0
ABHD17B 0 0 2.90008e-06 7.8719208841121e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABHD17C 0 0 1.69765e-06 5.86568714896275e-07 0 0 0 0 0 0 0 0 0 8.23753e-06 0 0
ABHD2 0 0 3.27749e-06 1.24213917761571e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABHD3 0 0 2.19358e-06 1.06833929391284e-06 0 0 0 0 0 0 0 0 0 1.24876e-06 0 0
ABHD4 0 0 3.32125e-06 1.25523128581075e-06 0 0 0 0 0 0 0 0 0 1.49537e-07 0 0
ABHD5 0 0 2.4136e-06 1.35340925999832e-06 0 0 0 0 0 0 0 0 0 4.86401e-07 0 0
ABHD6 0 0 2.27478e-06 8.1742425502339e-07 0 0 0 0 0 0 0 0 0 5.80946e-07 0 0
ABHD8 0 0 1.49875e-06 9.557476000889e-07 0 0 0 0 0 0 0 0 0 3.03671e-06 0 0
ABI1 0 0 3.83684e-06 1.51379116750088e-06 0 0 0 0 0 0 0 0 0 6.32172e-07 1 0
ABI2 0 0 4.3331e-06 1.29495582525917e-06 0 0 0 0 1 0 0 0 0 7.9419e-07 0 0
ABI3 0 0 1.72819e-06 8.26295155470105e-07 0 0 0 0 0 0 0 0 0 5.97764e-06 0 0
ABI3BP 0 0 5.03496e-06 3.52473203280543e-06 0 0 1 0 1 0 0 0 0 1.11606e-10 0 0
ABL1 0 0 6.87951e-06 2.29920742923942e-06 0 0 0 1 1 0 0 0 0 5.25607e-06 0 0
ABL2 0 0 5.28979e-06 3.05065037357452e-06 0 0 0 0 0 0 0 0 0 1.2308e-06 0 1
ABLIM1 0 0 8.22199e-06 2.47283356788614e-06 0 0 1 0 0 0 0 0 0 3.48565e-08 0 0
ABLIM2 0 0 8.5269e-06 2.57235100669157e-06 0 0 1 0 0 0 0 0 0 2.66005e-06 0 0
ABLIM3 0 0 5.26524e-06 2.66531205181812e-06 0 0 0 0 0 0 0 0 0 3.94626e-07 0 0
ABP1 0 0 7.00464e-06 1.24806863220958e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABR 0 0 8.62184e-06 2.53128789463326e-06 0 0 0 0 1 0 0 0 0 1.08324e-05 0 0
ABRA 0 0 2.34204e-06 8.42990365486115e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABRACL 0 0 1.04146e-10 2.71226335151795e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABT1 0 0 4.01816e-06 3.90952347841402e-07 0 0 0 0 0 0 0 0 0 2.0134e-06 0 0
ABTB1 0 0 4.60159e-06 1.53684209288757e-06 0 0 0 0 0 0 0 0 0 9.93213e-07 0 0
